Datetime,Water Level (m)
2024-06-07 06:00:00,0.09681031
2024-06-07 07:00:00,0.4734499
2024-06-07 08:00:00,0.9425193
2024-06-07 09:00:00,1.2680674
2024-06-07 10:00:00,1.4775007
2024-06-07 11:00:00,1.3948908
2024-06-07 12:00:00,1.1121378
2024-06-07 13:00:00,0.8131424
2024-06-07 14:00:00,0.575354
2024-06-07 15:00:00,0.34505096
2024-06-07 16:00:00,0.105739646
2024-06-07 17:00:00,-0.07571829
2024-06-07 18:00:00,-0.15289143
2024-06-07 19:00:00,0.19273274
2024-06-07 20:00:00,0.5645127
2024-06-07 21:00:00,0.94373006
2024-06-07 22:00:00,1.076435
2024-06-07 23:00:00,1.0579067
2024-06-08 00:00:00,0.8538889
2024-06-08 01:00:00,0.60934114
2024-06-08 02:00:00,0.3930851
2024-06-08 03:00:00,0.18296869
2024-06-08 04:00:00,-0.0034093852
2024-06-08 05:00:00,-0.15745273
2024-06-08 06:00:00,-0.16302022
2024-06-08 07:00:00,0.276939
2024-06-08 08:00:00,0.74397874
2024-06-08 09:00:00,1.250256
2024-06-08 10:00:00,1.5326304
2024-06-08 11:00:00,1.6553111
2024-06-08 12:00:00,1.4518948
2024-06-08 13:00:00,1.1013141
2024-06-08 14:00:00,0.8340042
2024-06-08 15:00:00,0.61508375
2024-06-08 16:00:00,0.37035605
2024-06-08 17:00:00,0.17067693
2024-06-08 18:00:00,0.01708895
2024-06-08 19:00:00,0.027467692
2024-06-08 20:00:00,0.38239545
2024-06-08 21:00:00,0.7552067
2024-06-08 22:00:00,1.0856764
2024-06-08 23:00:00,1.1910839
2024-06-09 00:00:00,1.143157
2024-06-09 01:00:00,0.9136086
2024-06-09 02:00:00,0.659235
2024-06-09 03:00:00,0.44693023
2024-06-09 04:00:00,0.23558077
2024-06-09 05:00:00,0.05881818
2024-06-09 06:00:00,-0.08251315
2024-06-09 07:00:00,0.047544353
2024-06-09 08:00:00,0.4590554
2024-06-09 09:00:00,0.9285432
2024-06-09 10:00:00,1.3297162
2024-06-09 11:00:00,1.5399591
2024-06-09 12:00:00,1.5527637
2024-06-09 13:00:00,1.3017579
2024-06-09 14:00:00,0.99987036
2024-06-09 15:00:00,0.76733464
2024-06-09 16:00:00,0.54345846
2024-06-09 17:00:00,0.31998062
2024-06-09 18:00:00,0.15394615
2024-06-09 19:00:00,0.008864813
2024-06-09 20:00:00,0.10447753
2024-06-09 21:00:00,0.46354455
2024-06-09 22:00:00,0.83557695
2024-06-09 23:00:00,1.0816637
2024-06-10 00:00:00,1.1212238
2024-06-10 01:00:00,1.0196793
2024-06-10 02:00:00,0.80754125
2024-06-10 03:00:00,0.58184725
2024-06-10 04:00:00,0.37984586
2024-06-10 05:00:00,0.18996048
2024-06-10 06:00:00,0.029804358
2024-06-10 07:00:00,-0.05941929
2024-06-10 08:00:00,0.22031373
2024-06-10 09:00:00,0.6178685
2024-06-10 10:00:00,1.0849421
2024-06-10 11:00:00,1.3950773
2024-06-10 12:00:00,1.5662391
2024-06-10 13:00:00,1.4970464
2024-06-10 14:00:00,1.2128407
2024-06-10 15:00:00,0.9334665
2024-06-10 16:00:00,0.7176613
2024-06-10 17:00:00,0.49527922
2024-06-10 18:00:00,0.29581192
2024-06-10 19:00:00,0.13699456
2024-06-10 20:00:00,0.050152987
2024-06-10 21:00:00,0.2593884
2024-06-10 22:00:00,0.5755829
2024-06-10 23:00:00,0.92149526
2024-06-11 00:00:00,1.0870917
2024-06-11 01:00:00,1.10333
2024-06-11 02:00:00,0.9717453
2024-06-11 03:00:00,0.76133424
2024-06-11 04:00:00,0.5502961
2024-06-11 05:00:00,0.35786065
2024-06-11 06:00:00,0.1862125
2024-06-11 07:00:00,0.041791614
2024-06-11 08:00:00,0.03992978
2024-06-11 09:00:00,0.36090928
2024-06-11 10:00:00,0.75380933
2024-06-11 11:00:00,1.1612324
2024-06-11 12:00:00,1.3988574
2024-06-11 13:00:00,1.5083213
2024-06-11 14:00:00,1.378809
2024-06-11 15:00:00,1.098308
2024-06-11 16:00:00,0.85606164
2024-06-11 17:00:00,0.65157884
2024-06-11 18:00:00,0.4373502
2024-06-11 19:00:00,0.2624701
2024-06-11 20:00:00,0.116103604
2024-06-11 21:00:00,0.09731321
2024-06-11 22:00:00,0.33299848
2024-06-11 23:00:00,0.66642195
2024-06-12 00:00:00,0.97976786
2024-06-12 01:00:00,1.0959368
2024-06-12 02:00:00,1.089294
2024-06-12 03:00:00,0.9573884
2024-06-12 04:00:00,0.7582152
2024-06-12 05:00:00,0.56088275
2024-06-12 06:00:00,0.38116366
2024-06-12 07:00:00,0.22832997
2024-06-12 08:00:00,0.13293992
2024-06-12 09:00:00,0.25193864
2024-06-12 10:00:00,0.5604622
2024-06-12 11:00:00,0.95514405
2024-06-12 12:00:00,1.291012
2024-06-12 13:00:00,1.4934776
2024-06-12 14:00:00,1.5503782
2024-06-12 15:00:00,1.3827919
2024-06-12 16:00:00,1.111293
2024-06-12 17:00:00,0.8892312
2024-06-12 18:00:00,0.69266653
2024-06-12 19:00:00,0.49031478
2024-06-12 20:00:00,0.3306687
2024-06-12 21:00:00,0.21118152
2024-06-12 22:00:00,0.28735536
2024-06-12 23:00:00,0.56932664
2024-06-13 00:00:00,0.89442426
2024-06-13 01:00:00,1.1368003
2024-06-13 02:00:00,1.2425228
2024-06-13 03:00:00,1.2319604
2024-06-13 04:00:00,1.0725373
2024-06-13 05:00:00,0.8591805
2024-06-13 06:00:00,0.6757601
